delivery_id,customer,latitude,longitude,distance_km,traffic,weather,delivery_time_min
D071,Customer 71,20.027224,77.015761,3.45,Low,Cloudy,24.51
D072,Customer 72,19.969872,77.006831,3.43,Low,Clear,18.31
D073,Customer 73,19.950552,76.959367,6.95,Low,Rain,40.92
D074,Customer 74,20.031546,76.986772,3.77,Medium,Rain,39.22
D075,Customer 75,20.020686,76.97652,3.36,Low,Rain,32.22
D076,Customer 76,20.022901,76.974399,3.69,Low,Clear,22.05
D077,Customer 77,20.027127,77.047301,5.79,High,Clear,48.08
D078,Customer 78,19.957404,76.98931,4.87,Low,Clear,24.5
D079,Customer 79,19.985847,77.039205,4.39,High,Clear,40.36
D080,Customer 80,19.961587,77.013114,4.49,Low,Rain,32.33
D081,Customer 81,20.03631,77.029481,5.08,Low,Rain,36.36
D082,Customer 82,20.01233,77.000264,1.37,Medium,Rain,29.62
D083,Customer 83,19.98309,77.00769,2.04,Medium,Rain,29.58
D084,Customer 84,19.956356,76.999252,4.85,High,Cloudy,44.25
D085,Customer 85,19.981098,76.969524,3.82,Medium,Cloudy,37.3
D086,Customer 86,19.982518,77.022245,3.03,High,Rain,41.39
D087,Customer 87,20.022961,76.978077,3.43,Low,Rain,34.23
D088,Customer 88,20.013756,76.952432,5.2,Low,Clear,27.41
D089,Customer 89,20.038721,77.014547,4.57,Medium,Clear,35.87
D090,Customer 90,19.997221,76.967711,3.39,High,Clear,40.88
D091,Customer 91,19.961959,77.044046,6.25,High,Rain,48.59
D092,Customer 92,20.021324,77.045393,5.3,Medium,Cloudy,37.81
D093,Customer 93,20.026079,77.041486,5.22,Low,Clear,32.61
D094,Customer 94,20.006128,76.987016,1.52,Medium,Cloudy,24.47
D095,Customer 95,20.027097,76.951546,5.89,Low,Cloudy,37.67
D096,Customer 96,19.99938,77.042832,4.48,High,Clear,39.11
D097,Customer 97,20.002273,76.992818,0.79,High,Clear,26.42
D098,Customer 98,19.992754,77.046665,4.94,Medium,Cloudy,38.29
D099,Customer 99,19.952542,77.046362,7.16,Medium,Cloudy,51.14
D100,Customer 100,19.960789,77.035301,5.71,Medium,Cloudy,42.6
D101,Customer 101,19.953143,76.979445,5.64,Low,Cloudy,36.57
D102,Customer 102,20.013641,76.98851,1.93,High,Rain,37.48
D103,Customer 103,19.981436,77.035114,4.21,Medium,Cloudy,34.38
D104,Customer 104,20.000857,76.981692,1.92,High,Cloudy,32.38
D105,Customer 105,20.040757,76.966949,5.7,Low,Rain,41.98
D106,Customer 106,19.974929,77.00568,2.85,High,Clear,33.14
D107,Customer 107,19.991038,77.043615,4.67,Low,Clear,29.55
D108,Customer 108,20.025555,77.019603,3.5,Low,Clear,30.23
D109,Customer 109,19.97288,77.007006,3.1,High,Cloudy,41.01
D110,Customer 110,19.957698,76.959718,6.31,Low,Cloudy,37.26
D111,Customer 111,19.978975,77.011501,2.63,Low,Cloudy,27.12
D112,Customer 112,19.966122,77.049005,6.36,High,Clear,47.22
D113,Customer 113,20.04297,76.964008,6.08,High,Clear,41.21
D114,Customer 114,20.030812,77.001833,3.43,Medium,Clear,26.7
D115,Customer 115,20.01334,77.037737,4.21,Medium,Clear,27.23
D116,Customer 116,20.037146,77.024077,4.84,Medium,Cloudy,37.31
D117,Customer 117,20.030367,77.019702,3.95,Low,Clear,25.86
D118,Customer 118,19.968657,77.020248,4.08,Low,Clear,31.35
D119,Customer 119,20.039256,76.985949,4.61,Medium,Rain,43.42
D120,Customer 120,20.003934,76.979359,2.2,Medium,Clear,24.14
D121,Customer 121,20.030744,77.030936,4.7,Medium,Cloudy,40.29
D122,Customer 122,20.039609,77.031011,5.47,Medium,Cloudy,34.25
D123,Customer 123,19.9818,77.036707,4.34,Low,Clear,28.07
D124,Customer 124,19.961005,77.041324,6.12,Medium,Cloudy,45.79
D125,Customer 125,19.972794,77.001134,3.03,Low,Rain,25.68
D126,Customer 126,19.992711,77.000152,0.81,Medium,Rain,30.67
D127,Customer 127,20.031801,77.02983,4.71,Medium,Clear,35.86
D128,Customer 128,20.036073,77.014996,4.31,High,Rain,46.99
D129,Customer 129,19.950695,77.020197,5.87,Low,Clear,35.38
D130,Customer 130,20.001075,77.029579,3.09,Low,Clear,29.17
D131,Customer 131,19.991741,77.039001,4.18,Low,Clear,27.27
D132,Customer 132,19.972211,76.9838,3.52,Medium,Rain,38.82
D133,Customer 133,19.961987,76.987558,4.42,Medium,Clear,32.3
D134,Customer 134,19.983762,76.959398,4.61,Low,Clear,25.89
D135,Customer 135,20.044291,77.007828,4.99,Low,Cloudy,35.45
D136,Customer 136,19.98232,76.953594,5.23,Medium,Clear,34.35
D137,Customer 137,20.001879,76.99656,0.42,Low,Clear,11.89
D138,Customer 138,20.020302,77.004264,2.3,High,Clear,30.77
D139,Customer 139,19.986363,76.978654,2.7,Medium,Clear,28.24
D140,Customer 140,20.047178,77.009083,5.33,Low,Clear,32.32
D141,Customer 141,20.046245,76.95305,7.11,Low,Clear,41.55
D142,Customer 142,19.975178,76.953735,5.57,High,Cloudy,46.75
D143,Customer 143,19.999725,77.03226,3.37,Low,Clear,22.67
D144,Customer 144,19.980088,76.986019,2.65,Low,Clear,17.66
D145,Customer 145,19.978484,76.962706,4.57,High,Rain,47.95
D146,Customer 146,19.953689,77.002224,5.15,High,Clear,44.73
D147,Customer 147,20.010956,77.026999,3.07,High,Cloudy,40.55
D148,Customer 148,20.000268,76.971582,2.97,Medium,Clear,25.11
D149,Customer 149,19.955148,77.012289,5.15,Low,Clear,33.21
D150,Customer 150,19.977865,76.958535,4.98,Low,Clear,33.99
